,사설단어
986,"('새만금', 4)"
987,"('이방', 4)"
988,"('설마', 4)"
989,"('의료', 4)"
990,"('전방', 4)"
991,"('주력', 4)"
992,"('부대', 4)"
993,"('스웨덴', 4)"
994,"('과속', 4)"
995,"('민족', 4)"
996,"('의미', 4)"
997,"('상치', 4)"
998,"('제일', 4)"
999,"('최효찬', 4)"
1000,"('가의', 4)"
1001,"('단지', 4)"
1002,"('빈', 4)"
1003,"('폐', 4)"
1004,"('위장전입', 4)"
1005,"('흐름', 4)"
1006,"('일방', 4)"
1007,"('요금', 4)"
1008,"('부족', 4)"
1009,"('감당', 4)"
1010,"('안내', 4)"
1011,"('직원', 4)"
1012,"('알바', 4)"
1013,"('설명', 4)"
1014,"('정규직', 4)"
1015,"('죄', 4)"
1016,"('실무', 4)"
1017,"('잘못', 4)"
1018,"('여권', 4)"
1019,"('유혹', 4)"
1020,"('간부', 4)"
1021,"('적자', 4)"
1022,"('과정', 4)"
1023,"('주기', 4)"
1024,"('속도', 4)"
1025,"('과대', 4)"
1026,"('매일', 4)"
1027,"('최유식', 4)"
1028,"('풀', 4)"
1029,"('소년', 4)"
1030,"('전화', 4)"
1031,"('멍', 4)"
1032,"('배제', 4)"
1033,"('총장', 4)"
1034,"('대형', 4)"
1035,"('적극', 4)"
1036,"('검사', 4)"
1037,"('생산', 4)"
1038,"('투쟁', 4)"
1039,"('악화', 4)"
1040,"('위반', 4)"
1041,"('실종', 4)"
1042,"('사법', 4)"
1043,"('해제', 4)"
1044,"('절반', 4)"
1045,"('국내', 4)"
1046,"('마을', 4)"
1047,"('절차', 4)"
1048,"('전달', 4)"
1049,"('고령자', 4)"
1050,"('시험', 4)"
1051,"('그때', 4)"
1052,"('스마트폰', 4)"
1053,"('괴담', 4)"
1054,"('시도', 4)"
1055,"('교훈', 4)"
1056,"('시민단체', 4)"
1057,"('박해', 4)"
1058,"('병', 4)"
1059,"('혼자', 4)"
1060,"('출산', 4)"
1061,"('혜택', 4)"
1062,"('빼', 4)"
1063,"('유지', 4)"
1064,"('수색', 4)"
1065,"('비자', 4)"
1066,"('압수수색', 4)"
1067,"('적', 4)"
1068,"('배출', 4)"
1069,"('아메리카', 4)"
1070,"('동아시아', 4)"
1071,"('돌', 4)"
1072,"('막', 4)"
1073,"('밥', 4)"
1074,"('침대', 4)"
1075,"('불황', 4)"
1076,"('충성', 4)"
1077,"('비행기', 4)"
1078,"('되풀이', 4)"
1079,"('위험천만', 4)"
1080,"('선전', 4)"
1081,"('장하', 4)"
1082,"('화가', 4)"
1083,"('보유', 4)"
1084,"('부자', 4)"
1085,"('테러', 4)"
1086,"('외국', 4)"
1087,"('깜깜', 4)"
1088,"('보상', 4)"
1089,"('키', 4)"
1090,"('교육청', 4)"
1091,"('협박', 4)"
1092,"('발상', 4)"
1093,"('어른', 4)"
1094,"('술', 4)"
1095,"('경력', 4)"
1096,"('예상', 4)"
1097,"('거절', 4)"
1098,"('호', 4)"
1099,"('몸', 4)"
1100,"('포', 4)"
1101,"('김동연', 4)"
1102,"('임기', 4)"
1103,"('중간', 4)"
1104,"('열풍', 4)"
1105,"('베트남', 4)"
1106,"('범죄', 4)"
1107,"('감소', 4)"
1108,"('민간', 4)"
1109,"('특권', 4)"
1110,"('간판', 4)"
1111,"('입맛', 4)"
1112,"('숫자', 4)"
1113,"('통계청장', 4)"
1114,"('남정욱', 4)"
1115,"('밑', 4)"
1116,"('협치', 4)"
1117,"('훈장', 4)"
1118,"('난', 4)"
1119,"('공론', 4)"
1120,"('존', 4)"
1121,"('커피', 4)"
1122,"('치', 4)"
1123,"('우물', 4)"
1124,"('전자', 4)"
1125,"('주인', 4)"
1126,"('한전', 4)"
1127,"('신문', 4)"
