,정치단어
867,"('삭제', 19)"
868,"('강남', 19)"
869,"('백두산', 19)"
870,"('베트남', 19)"
871,"('의원직', 19)"
872,"('합', 19)"
873,"('대한', 19)"
874,"('한반도기', 19)"
875,"('프로필', 19)"
876,"('김진표', 19)"
877,"('연루', 19)"
878,"('김동철', 19)"
879,"('방중', 19)"
880,"('폭침', 19)"
881,"('인천', 19)"
882,"('확성기', 19)"
883,"('단식', 19)"
884,"('징용', 18)"
885,"('참모', 18)"
886,"('다른', 18)"
887,"('잘못', 18)"
888,"('내주', 18)"
889,"('비공개', 18)"
890,"('청문', 18)"
891,"('강력', 18)"
892,"('불가', 18)"
893,"('분석', 18)"
894,"('운동', 18)"
895,"('표현', 18)"
896,"('의사', 18)"
897,"('처벌', 18)"
898,"('자문', 18)"
899,"('체육', 18)"
900,"('사단', 18)"
901,"('양국', 18)"
902,"('거', 18)"
903,"('시기', 18)"
904,"('협조', 18)"
905,"('피해자', 18)"
906,"('대사관', 18)"
907,"('탄핵', 18)"
908,"('교통', 18)"
909,"('협정', 18)"
910,"('자료', 18)"
911,"('통계', 18)"
912,"('병력', 18)"
913,"('구체', 18)"
914,"('집권', 18)"
915,"('서울시', 18)"
916,"('알', 18)"
917,"('시도', 18)"
918,"('다음주', 18)"
919,"('종합', 18)"
920,"('부처', 18)"
921,"('집단', 18)"
922,"('치', 18)"
923,"('민간', 18)"
924,"('담판', 18)"
925,"('날짜', 18)"
926,"('사위', 18)"
927,"('조성', 18)"
928,"('기회', 18)"
929,"('숙소', 18)"
930,"('접견', 18)"
931,"('이산', 18)"
932,"('구속', 18)"
933,"('주목', 17)"
934,"('김수현', 17)"
935,"('철거', 17)"
936,"('피랍', 17)"
937,"('해병대', 17)"
938,"('변경', 17)"
939,"('기자회견', 17)"
940,"('나선', 17)"
941,"('타결', 17)"
942,"('걱정', 17)"
943,"('지휘', 17)"
944,"('교환', 17)"
945,"('푸틴', 17)"
946,"('돌연', 17)"
947,"('희망', 17)"
948,"('시찰', 17)"
949,"('항의', 17)"
950,"('민주주의', 17)"
951,"('보장', 17)"
952,"('징계', 17)"
953,"('간담', 17)"
954,"('성명', 17)"
955,"('전작권', 17)"
956,"('분노', 17)"
957,"('공공기관', 17)"
958,"('제외', 17)"
959,"('설명', 17)"
960,"('신설', 17)"
961,"('무력', 17)"
962,"('최악', 17)"
963,"('두', 17)"
964,"('입법', 17)"
965,"('파행', 17)"
966,"('이름', 17)"
967,"('예고', 17)"
968,"('산업', 17)"
969,"('마치', 17)"
970,"('기획', 17)"
971,"('주한', 17)"
972,"('부정', 17)"
973,"('원금', 17)"
974,"('여군', 17)"
975,"('동원', 17)"
976,"('싸움', 17)"
977,"('구조', 17)"
978,"('고', 17)"
979,"('영변', 17)"
980,"('강원', 17)"
981,"('사의', 17)"
982,"('문희상', 17)"
983,"('재선', 17)"
984,"('위장', 17)"
985,"('공유', 17)"
986,"('표명', 17)"
987,"('부인', 17)"
988,"('청장', 17)"
989,"('공장', 17)"
990,"('스캔들', 17)"
991,"('대구시', 17)"
992,"('정세균', 17)"
993,"('패럴림픽', 17)"
994,"('강', 16)"
995,"('중간', 16)"
996,"('비밀', 16)"
997,"('승인', 16)"
998,"('구역', 16)"
999,"('지적', 16)"
1000,"('재정', 16)"
1001,"('돌파', 16)"
1002,"('전당대회', 16)"
1003,"('연', 16)"
1004,"('신문', 16)"
1005,"('여론', 16)"
1006,"('성폭행', 16)"
1007,"('뿐', 16)"
1008,"('특수', 16)"
1009,"('유족', 16)"
1010,"('주자', 16)"
1011,"('체', 16)"
1012,"('동향', 16)"
1013,"('주기', 16)"
1014,"('방식', 16)"
